"","date_time","gw_va_shen","p_va_shen","sw_va_shen","r_va_shen","gw_va_nova","p_va_nova","sw_va_nova","r_va_nova","region_md_cent","region_md_west"
"141",2038-05-21,0,0,0,0,1,0,1,0,0,0
"142",2038-05-22,0,0,0,0,1,0,1,0,0,0
"143",2038-05-23,0,0,0,0,1,0,1,0,0,0
"144",2038-05-24,0,0,0,0,2,0,1,0,0,0
"145",2038-05-25,0,0,0,0,2,0,1,0,0,0
"146",2038-05-26,0,0,0,0,2,0,1,0,0,0
"147",2038-05-27,0,0,0,0,2,0,2,0,0,0
"148",2038-05-28,0,0,0,0,2,0,2,0,0,0
"149",2038-05-29,0,0,0,0,3,0,2,0,0,0
"150",2038-05-30,0,0,0,0,3,0,2,0,0,0
"151",2038-05-31,0,0,0,0,3,0,3,0,0,0
"152",2038-06-01,0,0,0,0,0,0,1,0,0,0
"153",2038-06-02,0,0,0,0,0,0,1,0,0,0
"154",2038-06-03,0,0,0,0,0,0,1,0,0,0
"155",2038-06-04,0,0,0,0,0,0,1,0,0,0
"156",2038-06-05,1,0,0,0,0,0,1,0,0,0
"157",2038-06-06,1,0,0,0,0,0,1,0,0,0
"158",2038-06-07,1,0,0,0,0,0,1,0,0,0
"159",2038-06-08,1,0,0,0,0,0,2,0,0,0
"160",2038-06-09,1,0,0,0,0,0,2,0,0,0
"161",2038-06-10,1,0,0,0,0,0,1,0,0,0
"162",2038-06-11,1,0,0,0,0,0,1,0,0,0
"163",2038-06-12,1,0,0,0,0,0,0,0,0,0
"164",2038-06-13,1,0,0,0,0,0,0,0,0,0
"165",2038-06-14,1,0,0,0,0,0,0,0,0,0
"166",2038-06-15,2,0,0,0,0,0,0,0,0,0
"167",2038-06-16,2,0,0,0,0,0,0,0,0,0
"168",2038-06-17,2,0,0,0,0,0,0,0,0,0
"169",2038-06-18,3,0,0,0,0,0,0,0,0,0
"170",2038-06-19,3,0,0,0,0,0,0,0,0,0
"171",2038-06-20,3,0,0,0,0,0,0,0,0,0
"172",2038-06-21,3,0,0,0,0,0,0,0,0,0
"173",2038-06-22,3,0,0,0,0,0,0,0,0,0
"174",2038-06-23,3,0,0,0,0,0,0,0,0,0
"175",2038-06-24,3,0,0,0,1,0,0,0,0,0
"176",2038-06-25,3,0,0,0,1,0,0,0,0,0
"177",2038-06-26,3,0,0,0,1,0,0,0,0,0
"178",2038-06-27,3,0,0,0,1,0,0,0,0,0
"179",2038-06-28,3,0,0,0,1,0,0,0,0,0
"180",2038-06-29,3,0,0,0,1,0,0,0,0,0
"181",2038-06-30,3,0,0,0,1,0,0,0,0,0
