"","date_time","gw_va_shen","p_va_shen","sw_va_shen","r_va_shen","gw_va_nova","p_va_nova","sw_va_nova","r_va_nova","region_md_cent","region_md_west"
"127",2019-08-05,3,0,1,1,0,0,1,1,0,0
"128",2019-08-06,3,0,2,1,0,0,1,1,0,0
"129",2019-08-07,3,0,2,1,0,0,2,1,0,0
"130",2019-08-08,3,0,2,1,1,0,3,1,0,0
"131",2019-08-09,3,0,2,1,1,0,3,1,0,0
"132",2019-08-10,3,0,2,1,1,0,0,1,1,0
"133",2019-08-11,3,0,2,1,1,0,0,1,1,0
"134",2019-08-12,3,0,2,1,1,0,0,1,1,0
"135",2019-08-13,3,0,2,1,1,0,0,1,1,0
"136",2019-08-14,3,0,1,1,1,0,0,1,1,0
"137",2019-08-15,3,0,1,1,1,0,0,1,1,0
"138",2019-08-16,3,0,1,1,2,0,0,1,1,0
"139",2019-08-17,3,0,1,1,3,0,0,1,1,0
"140",2019-08-18,3,0,0,1,3,0,0,1,1,0
"141",2019-08-19,3,0,0,1,3,0,0,1,1,0
"142",2019-08-20,3,0,0,1,3,0,0,1,1,0
"143",2019-08-21,3,0,0,1,3,0,0,1,1,0
"144",2019-08-22,3,0,0,1,3,0,0,1,1,0
"145",2019-08-23,3,0,0,1,3,0,0,1,1,0
"146",2019-08-24,3,0,0,1,3,0,1,1,1,0
"147",2019-08-25,3,0,0,1,3,0,3,1,1,0
"148",2019-08-26,3,0,0,1,3,0,3,1,1,0
"149",2019-08-27,3,0,1,1,3,0,3,1,1,0
"150",2019-08-28,3,0,1,1,3,0,3,1,0,0
"151",2019-08-29,3,0,1,1,3,0,3,1,0,0
"152",2019-08-30,3,0,1,1,3,0,3,1,0,0
"153",2019-08-31,3,0,1,1,3,0,3,1,1,0
"154",2019-09-01,1,0,1,1,3,0,3,1,1,0
"155",2019-09-02,1,0,2,1,3,0,3,1,1,0
"156",2019-09-03,1,0,3,1,3,0,3,1,1,0
"157",2019-09-04,1,0,3,1,3,0,3,1,1,0
"158",2019-09-05,1,0,3,1,3,0,3,1,1,0
"159",2019-09-06,1,0,3,1,3,0,3,1,1,0
"160",2019-09-07,1,0,3,1,3,0,3,1,1,0
"161",2019-09-08,1,0,3,1,3,0,1,1,1,0
"162",2019-09-09,1,0,3,1,3,0,1,1,1,0
"163",2019-09-10,1,0,3,1,3,0,1,1,1,1
"164",2019-09-11,1,0,3,1,3,0,1,1,1,1
"165",2019-09-12,1,0,3,1,3,0,1,1,1,0
"166",2019-09-13,1,0,2,1,3,0,1,1,1,0
"167",2019-09-14,1,0,1,1,3,0,1,1,1,0
"168",2019-09-15,1,0,1,1,3,0,2,1,1,0
"169",2019-09-16,1,0,1,1,3,0,3,1,1,0
"170",2019-09-17,1,0,2,1,3,0,3,1,1,0
"171",2019-09-18,1,0,2,1,3,0,1,1,1,0
"172",2019-09-19,1,0,3,1,3,0,1,1,1,0
"173",2019-09-20,1,0,3,1,3,0,1,1,1,0
"174",2019-09-21,1,0,3,1,3,0,1,1,1,0
"175",2019-09-22,1,0,3,1,3,0,0,1,1,0
"176",2019-09-23,1,0,3,1,3,0,0,1,1,0
"177",2019-09-24,1,0,3,1,3,0,0,1,1,0
"178",2019-09-25,1,0,3,1,3,0,0,1,1,0
"179",2019-09-26,1,0,3,1,3,0,0,1,1,0
"180",2019-09-27,1,0,3,1,3,0,0,1,1,0
"181",2019-09-28,1,0,3,1,3,0,0,1,1,1
"182",2019-09-29,1,0,3,1,3,0,1,1,1,1
"183",2019-09-30,1,0,3,1,3,0,2,1,1,1
